Mes, Año de Año;Dep;Municipio;Regimen;Afiliados;Cobertura;Contributivo;Excepción & Especiales;Personas;Poblacion DANE;PPNA;Sisbén 1;Sisbén 2;Subsidiado
diciembre 2019;Boyacá;Sotaquirá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Sotaquirá;Contributivo;1243;;1243;0;1243;0;0;0;0;0
diciembre 2019;Boyacá;Sotaquirá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Sotaquirá;Subsidiado;4259;;0;0;4259;0;0;0;0;4259
diciembre 2019;Boyacá;Quípama;Excepción;79;;0;79;79;0;0;0;0;0
diciembre 2019;Boyacá;Quípama;Poblacion;0;0;0;0;7485,000000000;7485,000000000;0;0;0;0
diciembre 2019;Boyacá;Quípama;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Quípama;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Quípama;Contributivo;468;;468;0;468;0;0;0;0;0
diciembre 2019;Boyacá;Quípama;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Quípama;Subsidiado;3590;;0;0;3590;0;0;0;0;3590
diciembre 2019;Boyacá;Nuevo Colón;Excepción;14;;0;14;14;0;0;0;0;0
diciembre 2019;Boyacá;Nuevo Colón;Poblacion;0;0;0;0;6729,000000000;6729,000000000;0;0;0;0
diciembre 2019;Boyacá;Nuevo Colón;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Nuevo Colón;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Nuevo Colón;Contributivo;296;;296;0;296;0;0;0;0;0
