Mes, Año de Año;Dep;Regimen;Afiliados;Cobertura;Contributivo;Excepción & Especiales;Personas;Poblacion DANE;PPNA;Sisbén 1;Sisbén 2;Subsidiado
diciembre 2019;Boyacá;Excepción;9;;0;9;9;0;0;0;0;0
diciembre 2019;Boyacá;Poblacion;0;0;0;0;2287;2287;0;0;0;0
diciembre 2019;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Contributivo;139;;139;0;139;0;0;0;0;0
diciembre 2019;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Subsidiado;1502;;0;0;1502;0;0;0;0;1502
diciembre 2019;Boyacá;Excepción;11;;0;11;11;0;0;0;0;0
diciembre 2019;Boyacá;Poblacion;0;0;0;0;2180,000000000;2180,000000000;0;0;0;0
diciembre 2019;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Contributivo;662;;662;0;662;0;0;0;0;0
diciembre 2019;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Subsidiado;1043;;0;0;1043;0;0;0;0;1043
diciembre 2019;Boyacá;Excepción;115;;0;115;115;0;0;0;0;0
diciembre 2019;Boyacá;Poblacion;0;0;0;0;6820;6820;0;0;0;0
diciembre 2019;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Contributivo;1331;;1331;0;1331;0;0;0;0;0
diciembre 2019;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Subsidiado;4854;;0;0;4854;0;0;0;0;4854
diciembre 2019;Boyacá;Excepción;25;;0;25;25;0;0;0;0;0
diciembre 2019;Boyacá;Poblacion;0;0;0;0;7224;7224;0;0;0;0
diciembre 2019;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Contributivo;1243;;1243;0;1243;0;0;0;0;0
diciembre 2019;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Subsidiado;4259;;0;0;4259;0;0;0;0;4259
diciembre 2019;Boyacá;Excepción;79;;0;79;79;0;0;0;0;0
diciembre 2019;Boyacá;Poblacion;0;0;0;0;7485,000000000;7485,000000000;0;0;0;0
diciembre 2019;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Contributivo;468;;468;0;468;0;0;0;0;0
diciembre 2019;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Subsidiado;3590;;0;0;3590;0;0;0;0;3590
diciembre 2019;Boyacá;Excepción;14;;0;14;14;0;0;0;0;0
diciembre 2019;Boyacá;Poblacion;0;0;0;0;6729,000000000;6729,000000000;0;0;0;0
diciembre 2019;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Contributivo;296;;296;0;296;0;0;0;0;0
diciembre 2019;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Subsidiado;4204;;0;0;4204;0;0;0;0;4204
diciembre 2019;Boyacá;Excepción;31;;0;31;31;0;0;0;0;0
diciembre 2019;Boyacá;Poblacion;0;0;0;0;1850;1850;0;0;0;0
diciembre 2019;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Contributivo;116;;116;0;116;0;0;0;0;0
diciembre 2019;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Subsidiado;1255;;0;0;1255;0;0;0;0;1255
diciembre 2019;Boyacá;Excepción;48;;0;48;48;0;0;0;0;0
diciembre 2019;Boyacá;Poblacion;0;0;0;0;5298;5298;0;0;0;0
diciembre 2019;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Contributivo;170;;170;0;170;0;0;0;0;0
diciembre 2019;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Subsidiado;4842;;0;0;4842;0;0;0;0;4842
diciembre 2019;Boyacá;Excepción;319;;0;319;319;0;0;0;0;0
diciembre 2019;Boyacá;Poblacion;0;0;0;0;9802,000000000;9802,000000000;0;0;0;0
diciembre 2019;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Contributivo;2087;;2087;0;2087;0;0;0;0;0
diciembre 2019;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Subsidiado;5252;;0;0;5252;0;0;0;0;5252
diciembre 2019;Boyacá;Excepción;157;;0;157;157;0;0;0;0;0
diciembre 2019;Boyacá;Poblacion;0;0;0;0;9679;9679;0;0;0;0
diciembre 2019;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
